id_user,timestamp,source,message,category
4844,11/1/2024,livechat,"""What time is it where u are""",other
3985,11/1/2024,livechat,"""What happened to the Cashback piggy?""",account issues
2578,11/1/2024,livechat,"""Deactivated""",other
1040,11/1/2024,telegram,"""It says access issues detected""",freespin issues
4288,11/1/2024,livechat,"""Im in arizona""",other
1039,11/1/2024,telegram,"""My free signup bonus doesn’t work""",freespin issues
247,11/1/2024,livechat,"""I don't understand what u mean""",other
4421,11/1/2024,livechat,"""Im in the us""",freespin issues
4230,11/1/2024,livechat,"""The bonus of 0.0036... I just added and active but that one isn't showing""",other
3713,11/1/2024,livechat,"""Okay hopefully I don't have to bother you anymore I apologize.""",other
4233,11/1/2024,livechat,"""To withdraw my money I am a continuously paying client""",payment issues
4117,11/1/2024,livechat,"""may I upload the document here, and you can tell me if it’s alright or not?""",other
4468,11/1/2024,livechat,"""Hi can i have my depositing currency changed back to Ethereum please?""",payment issues
4566,11/1/2024,livechat,"""I am sorry for being so angry but u would be too""",other
3848,11/1/2024,livechat,"""ive depoistioed so much everyday""",freespin issues
4239,11/1/2024,livechat,"""Making sure its to this address""",freespin issues
1050,11/1/2024,telegram,"""So I basically was undermined and signed up and used my last of my BTC balance to get in with u guys""",payment issues
1050,11/1/2024,telegram,"""Sorry""",other
1050,11/1/2024,telegram,"""❤️""",other
4105,11/1/2024,livechat,"""It may be that the bonus has been delayed however I want to check as I’ve usually received it by now every week.""",payment issues
1053,11/1/2024,telegram,"""I never created another account is it possible someone might have created another account and since it seems that is tr case can you shut it down""",account issues
4659,11/1/2024,livechat,"""I don’t need bonus and I just want to get my desposit""",payment issues
5062,11/1/2024,livechat,"""I already deposited too many time even I had lost""",account issues
4485,11/1/2024,livechat,"""hey I just wanted to know the time my account will be reopened""",account issues
5132,11/1/2024,livechat,"""On my case, i dont huh?""",other
4167,11/1/2024,livechat,"""today about a $100 no deposit bonus""",other
1059,11/1/2024,telegram,"""I was playing the game 777 slots it took my whole balance and said I have no funds left for my bet which is not right I still had funds in my account this is rediculas and I am not happy at all""",game issues
4190,11/1/2024,livechat,"""as a side note; david was completely unprofessional and almost seemed drunk""",other
4227,11/1/2024,livechat,"""Ok. My card is at home and i am at work. I might play some more, and upload details when i have my card with me again.""",other
4350,11/1/2024,livechat,"""Then my game was glitched then""",game issues
4259,11/1/2024,livechat,"""it’s already auto collected the jackpot mania now""",game issues
57,11/1/2024,telegram,"""It shows pending and there is a cancel option""",other
4145,11/1/2024,livechat,"""weres my game history""",game issues
4621,11/1/2024,livechat,"""The limit was €150. I then have to pay out the amount. I would like to continue playing""",payment issues
5147,11/1/2024,livechat,"""right. okay well have a good day, thank you!""",other
1122,11/1/2024,telegram,"""I just deposited money and I did one spin and it took it all away all my money's gone how is that""",account issues
5232,11/1/2024,livechat,"""that's random haha""",other
5047,11/1/2024,livechat,"""in othe convo but my phone died""",other
4421,11/1/2024,livechat,"""Hello I placed 9th in jackpot spins for last month""",game issues
710,11/1/2024,livechat,"""Payment system account used by another user problem""",payment issues
4157,11/1/2024,livechat,"""i am concerned""",other
406,11/1/2024,telegram,"""Ok Gotit now thx""",other
4073,11/1/2024,livechat,"""But on my end it isn’t “pending” it says completed""",other
4133,11/1/2024,livechat,"""That percentage. Bar has not moved hundreds dollars sits there does it work""",other
4958,11/1/2024,livechat,"""\nNone of those reasons applied to me, so can you please check my deposit?""",payment issues
2623,11/1/2024,livechat,"""PLEASE CONFIRM I DID NOT QUALIFY FOR WEEKILY CASHBACK""",account issues
4411,11/1/2024,livechat,"""All good for now""",other
4756,11/1/2024,livechat,"""I wouldn't have wasted my money like that""",other
4134,11/1/2024,livechat,"""Now it says this when I try to play""",game issues
4684,11/1/2024,livechat,"""All you said was both my utility bills were dejected!""",payment issues
4857,11/1/2024,livechat,"""I don't know what else to give you!""",other
4429,11/1/2024,livechat,"""It says my account is disabled""",account issues
4324,11/1/2024,livechat,"""Credit card australian dollars""",payment issues
1327,11/1/2024,livechat,"""Ok again thx""",other
4342,11/1/2024,livechat,"""\nI want to withdraw to telegram wallet""",payment issues
72,11/1/2024,telegram,"""Never got my free play after my last bitcoin deposit""",freespin issues
4938,11/1/2024,livechat,"""Sweet I’ll just report it then""",other
5391,11/1/2024,livechat,"""I live in the USA""",other
1666,11/2/2024,livechat,"""I got kicked off the game and when I lived back in it wwast there""",game issues
4640,11/2/2024,livechat,"""Send me to someone else""",other
4834,11/2/2024,livechat,"""I’m sorry what is the fiat view""",freespin issues
5266,11/2/2024,livechat,"""None of this applies to me.""",other
5050,11/2/2024,livechat,"""ok as you say.""",other
2782,11/2/2024,livechat,"""If you don't mind checking please""",other
5514,11/2/2024,livechat,"""I cant enter website""",freespin issues
4741,11/2/2024,livechat,"""Oh okay then, thanks for help tho!, that was All I had 🙂""",other
4729,11/2/2024,livechat,"""Is there 100 free spin sign up bonus""",freespin issues
5152,11/2/2024,livechat,"""because they were credited immediately then""",payment issues
5465,11/2/2024,livechat,"""What time did I make the deposit""",payment issues
